bathrooms,bedrooms,building_id,created,description,display_address,features,latitude,listing_id,longitude,manager_id,photos,price,street_address,interest_level
1.0,0,a386c5a7e538faa338ef9154c066e83a,2016-04-14 17:00:44,"Large, beautiful studio with working fireplace available in the heart of Gramercy for only $1995! Exposed brick with a woodburning fireplace, hardwood floors, high ceilings, and large windows with lots of natural light, laundry in building, and elevator. Perfect for those looking to be only steps to Union Square, Madison Square Park, Whole Foods & Trader Joe's, humorous the Stand, and all the fine dining, shopping and nightlife this wonderful neighborhood has to offer. Minutes to 4, 5, 6, N, Q, R, and L trains. This will definitely not last long. Must be approved by the co-op board.*Pics by the owner.Email, text, or call anytime to schedule a viewing. 293-537-9894- Andy from DJK Residential",East 21st St and 3rd Ave,"['Elevator', 'Laundry In Building', 'Exposed Brick', 'Woodburning Fireplace', 'Hardwood Floors', 'High Ceilings', 'Large Windows w/ lots of Natural Light']",40.7371,6874310,-73.9836,046ed6c8a67bc942fcf4ca43e96f27d8,"['https://photos.renthop.com/2/6874310_84a530f4cc78edbb10f96d15850d0b37.jpg', 'https://photos.renthop.com/2/6874310_db275d81f72a349a07558291928ce23d.jpg', 'https://photos.renthop.com/2/6874310_90ab3939e6eefaed53c0eabc4a298aa2.jpg', 'https://photos.renthop.com/2/6874310_2f320dac62fa53795a18ad9add77e41a.jpg']",1995,"210 East 21st Street, Apt. 3C",medium
1.0,2,c40e3e74475a91aae1928541be8df678,2016-06-29 06:37:30,"***AVAILABLE NOW***MUST SEE***WILL NOT LAST LONG**100-% NO FEE***AMAZING 1BR(FLEX 2BR)***1BA**24HR DOORMAN***PRIVATE DECK***FULL RANGE OF ELEVATORS***POLISHED HARDWOOD FLOOR, GRANITE TOP WITH STAINLESS STEEL APPLIANCES, FULLY RENOVATED MARBLE BATHROOM, SPACIOUS HIGH CEILINGS AND PLENTY OF LIGHT.****NO BROKERS FEE**********WILL NOT LAST LONG*****<br /><br />******LOCATION BENEFITS******located just steps away from Broadway near a variety of restaurants,bars,cafe's,supermarkets,banks,post office,libraries,boutique shops, and movie theater, A weekend on the Upper West Side can mean anything from a trip to the Natural History Museum and a night out at one of many bars and restaurants to an art-house movie and a bike-ride through the park.******BUILDING AMENITIES*****-24 Hour Concierge Attended Lobby-Pets Allowed -Onsite Management Office-Dynamically Designed Lobby and Common Spaces -State-of-the-Art Health and Fitness Center-State-of-the-Art AV theater -Beautifully Landscaped Rooftop Terrace -Bicycle Room -Laundry Facilities -Time Warner Cable TV Service Prewiring for Verizon Multiple Phone Lines High Speed Verizon DSL and Time Warner Road Runner Service 24-hour Security Cameras,<br /><br />****PUBLIC TRANSPORTATION****-- West 96th st Subway: 1,2,3,B,C, Express Trains,-- Cross-town Buses.<br /><br />For further info and to schedule a viewingContact: Nash Benaim  Call/Text: 304-782-4563  Email: kagglemanager@renthop.com<p><a  website_redacted ",West 96th Street,"['Doorman', 'Fitness Center', 'Laundry in Building', 'Dishwasher', 'Hardwood Floors', 'No Fee', 'Outdoor Space']",40.7959,7233650,-73.9742,54bf50a3e709c0bd499f9fdca5826147,"['https://photos.renthop.com/2/7233650_2eb94f0cf44feab5fb3a43b869186c95.jpg', 'https://photos.renthop.com/2/7233650_de959452daea9678327d52a008afc528.jpg', 'https://photos.renthop.com/2/7233650_9d7d18a970bd264b40376eb23d287f24.jpg', 'https://photos.renthop.com/2/7233650_487301faa2e174455f75aca156ea25a7.jpg', 'https://photos.renthop.com/2/7233650_b094c31daad5ab37a64b12294f5beed1.jpg', 'https://photos.renthop.com/2/7233650_5412177a45a1e4685fa888869a734d58.jpg', 'https://photos.renthop.com/2/7233650_780f5054b2c359459530323d925cab57.jpg', 'https://photos.renthop.com/2/7233650_23741897e9aa3cb70e05bff3af901375.jpg']",3250,323 West 96th Street,medium
1.0,0,d1df484ba925dc5c35eeb01c2d57c9bb,2016-05-17 03:23:07,        ,West 14th Street,"['Cats Allowed', 'Dogs Allowed']",40.7394,7022411,-74.0012,36037ab2a7c5d2c29f0bea59fee2a47b,"['https://photos.renthop.com/2/7022411_a2ecaa1ff1274178fd37b37bd2481a6d.jpg', 'https://photos.renthop.com/2/7022411_ce77049144dde9bf23300f80bc917771.jpg', 'https://photos.renthop.com/2/7022411_0e76e15a1b62d3c6c660aa3f0c15d09f.jpg', 'https://photos.renthop.com/2/7022411_fd68455f187409715691050e40518481.jpg', 'https://photos.renthop.com/2/7022411_9ceeed1efb967f747e0e909c5aea3486.jpg', 'https://photos.renthop.com/2/7022411_d829eeb6398d4fa7bc7446f7caeafe15.jpg', 'https://photos.renthop.com/2/7022411_f279f2da090a9f9dade6c15424b85299.jpg', 'https://photos.renthop.com/2/7022411_d77fada065e8fe01df2287213ce0402a.jpg', 'https://photos.renthop.com/2/7022411_a81c102f16c51a7ac912c8b7434ab225.jpg', 'https://photos.renthop.com/2/7022411_0e1ebea5752999042f85313af172759c.jpg', 'https://photos.renthop.com/2/7022411_156888c7a25662997f749f07a9617c54.jpg', 'https://photos.renthop.com/2/7022411_dc111a0d81777e6a2574e3790a061573.jpg', 'https://photos.renthop.com/2/7022411_e58ba7c10a0d028c2c34a7a8e0c7f531.jpg', 'https://photos.renthop.com/2/7022411_c38ce7737ff160d5d055764b8000e6ec.jpg', 'https://photos.renthop.com/2/7022411_99e5fb42756990b471f021e212947711.jpg', 'https://photos.renthop.com/2/7022411_b1e23137235fb58cdfaf25cda353f0d1.jpg', 'https://photos.renthop.com/2/7022411_bc4393daf98cea2ba1cb22d2fb604fd6.jpg', 'https://photos.renthop.com/2/7022411_bbab86f665ae62ab83e217637be91579.jpg', 'https://photos.renthop.com/2/7022411_008969caced24996f8a60f8ee9bfd26f.jpg', 'https://photos.renthop.com/2/7022411_5aa7c9223d7d293fed48b9b0f785718d.jpg', 'https://photos.renthop.com/2/7022411_fef2fcad1faad0e95f3cde4e53b04f2d.jpg', 'https://photos.renthop.com/2/7022411_42678636e3296b8acbc63d40f2d65bc9.jpg']",2895,237 West 14th Street,low
1.0,1,3c5ff5a10022be34eff9820d70bdb0f6,2016-06-25 05:26:43,"SPACIOUS 1 BED W/ BRAND NEW KITCHEN AND BAMBOO FLOORS! HIT HAT LIGHTING!!Charming ONE BEDROOM with one of a kind renovations including a bamboo flooring, hit hat lighting, gut renov stainless steel appliances kitchen with tons of cabinets, abundant closets and massive bedroom. Gorgeous brownstone building quiet and clean!!<br /><br />To view feel free to call email Magaly 310-758-6977 kagglemanager@renthop.com<br /><br /><br /><br /><p><a  website_redacted ",East 88th Street,"['Dining Room', 'Elevator', 'Laundry in Building', 'Dishwasher', 'Hardwood Floors', 'No Fee']",40.7774,7216272,-73.947,d399821d8583b8421a55370c6eb15f6f,"['https://photos.renthop.com/2/7216272_f0c3d1ce6e9419fd7aee51cef3e4b368.jpg', 'https://photos.renthop.com/2/7216272_4b945c08a320cc95775787a134003578.jpg', 'https://photos.renthop.com/2/7216272_9c937098e9851508279a13365f3b1fdf.jpg']",2600,440 East 88th Street,medium
1.0,3,962b199e401373cf5296a467ac785b37,2016-06-01 03:14:19,"* Beautiful Renovated ?1Bdrm*? Just Listed * Near All ** Apartment Amenities:~ Newly renovated. Lots of natural light?. Large windows.?~? ?Fully renovated. Hardwood floors throughout?.~ Beautiful ?r?enovated ?b?athroom with Floor to Ceiling Tile* Building Amenities:~ Live-in super. Great management company?. 24/7 emergency service?~ ?High speed internet and ?cable ready. Immaculate and quiet. Bond New York Properties offers a great opportunity for you to find the perfect home. WithSome of our finest New York City exclusives and open market access you might just want to see what we have to offer. For more, Contact Victor Kolatau093-726-5246 or Email  kagglemanager@renthop.com<br /><br />Bond New York is a real estate broker that supports equal housing opportunity.<p><a  website_redacted ",E 33 Street,"['Hardwood Floors', 'Cats Allowed']",40.7451,7089476,-73.9792,5a002b00880a84406292a8dfe54f8c72,"['https://photos.renthop.com/2/7089476_f773df8f864a67e4abef56fb88339222.jpg', 'https://photos.renthop.com/2/7089476_8c23db6505e40fd5a2aba694426c18ef.jpg', 'https://photos.renthop.com/2/7089476_024b43b04e95cdd1fc43d4dd9c80c599.jpg', 'https://photos.renthop.com/2/7089476_8aa16ab5cd4351811ad72037ceee8391.jpg', 'https://photos.renthop.com/2/7089476_8c010fa16a301e067b4f73a0721a0b8f.jpg', 'https://photos.renthop.com/2/7089476_e60bccfaa3c1e6509756a476e54ef8e9.jpg']",3150,162 E 33 Street,low
1.0,2,df1c54a9717116c3c4ec741a51d6882e,2016-05-24 05:29:39,"this unit is in a nice quiet building walking distance to the L, J, M and Z lines..near all shopping and night life!call today to schedule your showing.steve635-935-4462<br /><br /><br /><br /><br /><br /><p><a  website_redacted ",137 Manhattan Avenue,"['Pre-War', 'Laundry in Building', 'Dishwasher', 'Hardwood Floors', 'No Fee', 'Dogs Allowed', 'Cats Allowed']",40.7075,7060435,-73.9452,930c29dd3460c20011c1e2857f335ec4,"['https://photos.renthop.com/2/7060435_7e6b237558495b9e4866f5a5014d892c.jpg', 'https://photos.renthop.com/2/7060435_040285311cb29e420aef8374a5461fac.jpg', 'https://photos.renthop.com/2/7060435_369754719cf84fffa4d3e992af14d336.jpg', 'https://photos.renthop.com/2/7060435_2612412099bcd3ecc2e38bf210a321aa.jpg', 'https://photos.renthop.com/2/7060435_7e53879ca0f4cd19872cb65363017c41.jpg', 'https://photos.renthop.com/2/7060435_d5cd3b56c4742cdf17635fb08724d715.jpg']",2999,137 Manhattan Avenue,medium
1.0,0,2a21319016fe50100e0b8ebb5a4f9cf0,2016-06-07 04:12:00,Beautiful  Stu in the East Village<p><a  website_redacted ,Astor Place,"['Doorman', 'Elevator', 'Loft', 'Laundry in Building']",40.7301,7119748,-73.9927,2b6d9435a0e6c4019e5ffcb53389c3dd,[],3175,1 Astor Place,low
1.0,1,0,2016-04-06 01:23:33,"Boasting approximately 969 Sq. Ft. this massive one bedroom has a living room that actually wraps around. Walk in to a long and wide hall area that may be used as an office space, then loop around to a large living room with an alcove. Absolutely beautiful finishes! There is a renovated separate kitchen with premium renovations and appliances. Brand new custom cabinets, stainless steel appliances, granite counters, dishwasher, microwave, and an elegant backsplash. There is renovated and modern bathroom. The closets in this apartment are incredible, there is a hall of closets and a full wall of closets in the King Size Bedroom. This is a pet friendly full time luxury doorman building. Early E 80's. Vibrant neighborhood with many great stores, boutiques, restaurants and much more! close to the park. Catch the 4,5,6 express and local trains on 86th street and Lexington Avenue. Please email, call, or text Flora to view this property or any other on the website. ",East 82nd Street,"['Doorman', 'Dogs Allowed', 'Cats Allowed']",40.7735,6827887,-73.9498,7f62d670bfcbc4ccd33b1a289ec9e3d9,"['https://photos.renthop.com/2/6827887_be4a9672573984c94592e53861a8c893.jpg', 'https://photos.renthop.com/2/6827887_8a59f3e9ae8a8a9a960cd0afbd40f6df.jpg', 'https://photos.renthop.com/2/6827887_695e08e68ebda8c216bbdb7d8da02d03.jpg', 'https://photos.renthop.com/2/6827887_9574a6239fe89984c72d852dac28be0d.jpg', 'https://photos.renthop.com/2/6827887_685e57314ee47b2826b4022905f2f8f9.jpg', 'https://photos.renthop.com/2/6827887_74c24cd7eb837ec140cc608dc51d0528.jpg', 'https://photos.renthop.com/2/6827887_6fada2866a887ac0c8c411413d9dc15d.jpg']",3750,444 East 82nd Street,low
1.0,1,34bc932fa6d6aecd3a9573e03c482496,2016-06-28 05:39:43,"Located in Manhattan and steps away from the city?s finest shopping, dining, nightlife and cultural destinations. These beautiful apartment features floor-to-ceiling windows with amazing East River and skyline views, expansive closets, gorgeous finishes and the benefit of in-home washer and dryers. Residents adore the convenience of the concierge, valet, housekeeping and dry cleaning services. Head up to the luxurious rooftop terrace to socialize with friends or admire the views of this beautiful city. Enjoy no broker fees and discover the quintessential New York City living experience.<br /><br />Apartment Amenities :Gas, electricity ,heat included.Views of Empire State Building and East RiverFloor-to-Ceiling WindowsPrivate BalconyGranite Kitchen CountertopsWalk-in Closets9 Foot CeilingsLinen ClosetStainless Steel Kitchen AppliancesMicrowave , DishwasherSpacious ClosetsAir ConditioningFlexible Layouts<br /><br />No Broker FeesRooftop Lounge with Amazing Views24-hour Fitness Center24-hour ConciergeBike StorageStorage LockersCiti Bike Outside the DoorBusiness Center with WiFi Package ServiceValet Dry Cleaning Service Duane Reade On-site<br /><br /><p><a  website_redacted ",East 39th Street,"['Balcony', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Dogs Allowed', 'Cats Allowed']",40.7476,7226238,-73.9732,d47d6bf350810f4999e3467c4caa5dd2,"['https://photos.renthop.com/2/7226238_15ea86799e9c78f76721fb03938f4588.jpg', 'https://photos.renthop.com/2/7226238_a993a14faa1e6ff36104c992c1704b1e.jpg', 'https://photos.renthop.com/2/7226238_8b8264f8a4a5d98dc92ef53790ea6b8f.jpg', 'https://photos.renthop.com/2/7226238_858af470f34a5d571e74b82805e742b0.jpg', 'https://photos.renthop.com/2/7226238_f2e2b1e03de76de49c57802ae6a0cc5a.jpg', 'https://photos.renthop.com/2/7226238_39946ae2e742b3eea08ea9159178a4fc.jpg']",4025,300 East 39th Street,low
2.0,3,0,2016-04-13 15:34:57,"This building retains many original architectural features among its many modern conveniences, for a unique mix of the new and the historic. Stone, marble and rich wood details complement residences with sleek modern finishes and creative layouts.Flex three bedroom, equipped with high ceilings, wood strip floors, oversized windows, and excellent closet space.  Won’t last!Amenities include a 24 hour doorman and concierge, fitness center, bicycle storage, terrace, club room, billiard table, half basketball court, valet, storage, WiFiContact me to schedule your appointment 501-606-3449.Warm Regards,Polina  ",Wall st ,"['Common Outdoor Space', 'Cats Allowed', 'Dogs Allowed', 'Doorman', 'Reduced Fee', 'Elevator', 'Fitness Center', 'Laundry In Building']",40.706,7222591,-74.0088,e6472c7237327dd3903b3d6f6a94515a,"['https://photos.renthop.com/2/6868914_b18d44097917d7072eff5dcd76442100.jpg', 'https://photos.renthop.com/2/6868914_7ffe475fafc636d2860f7d9f2af353e8.jpg', 'https://photos.renthop.com/2/6868914_34e3c3853cd1991fc49b6f113c294939.jpg', 'https://photos.renthop.com/2/6868914_639b9fabe096d562dce3088952ee09ab.jpg', 'https://photos.renthop.com/2/6868914_9009539cb50a1a92ea26c94df3e613e3.jpg', 'https://photos.renthop.com/2/6868914_ab2d10875272523aeb26feadde8ccb73.jpg', 'https://photos.renthop.com/2/6868914_6f02039df181f7198ad8b053402b1d4b.jpg']",4900,Wall st ,low
